V: 37  Left: -856.9286   Right: -882.8398   Up: -697.4795   Down: -871.2114   Up Left: -819.6219   Up Right: -778.2778   Down Left: -860.1443   Down Right: -873.7507
V: 38  Left: -869.0016   Right: -1174.013   Up: -847.9096   Down: -903.83   Up Left: -749.147   Up Right: -957.7109   Down Left: -856.99   Down Right: -1050.136
V: 39  Left: -950.9183   Right: -924.6611   Up: -957.5995   Down: -1057.416   Up Left: -725.7423   Up Right: -878.5909   Down Left: -917.5824   Down Right: -1057.551
V: 40  Left: -1081.941   Right: -589.8459   Up: -704.2577   Down: -512.5941   Up Left: -741.66   Up Right: -384.9156   Down Left: -711.8655   Down Right: -648.0916
V: 41  Left: -405.0761   Right: 87.25845   Up: -414.3461   Down: -379.2913   Up Left: -253.8008   Up Right: -119.4655   Down Left: -521.9888   Down Right: 970.1715
V: 42  Left: -197.4844   Right: -129.861   Up: 221.0967   Down: 1244.592   Up Left: 173.6015   Up Right: -234.0826   Down Left: 414.7557   Down Right: 397.4104
V: 43  Left: 214.5773   Right: -970.508   Up: -533.2982   Down: -606.2907   Up Left: -605.2629   Up Right: -742.9025   Down Left: -214.1705   Down Right: -700.4075
V: 44  Left: -775.3113   Right: -1004.495   Up: -735.5082   Down: -763.4947   Up Left: -743.755   Up Right: -901.2988   Down Left: -643.9724   Down Right: -756.9794
V: 45  Left: -836.1522   Right: -677.0259   Up: -844.7198   Down: -851.6384   Up Left: -848.467   Up Right: -767.231   Down Left: -851.2344   Down Right: -813.4442
V: 46  Left: -829.9337   Right: -777.2902   Up: -735.7085   Down: -828.064   Up Left: -787.1221   Up Right: -655.6802   Down Left: -790.4649   Down Right: -832.3596
V: 47  Left: -770.5211   Right: -755.129   Up: -736.0291   Down: -829.6309   Up Left: -813.4262   Up Right: -616.2781   Down Left: -800.4791   Down Right: -779.3145
V: 48  Left: -782.3049   Right: -346.0306   Up: -739.5256   Down: -1010.368   Up Left: -794.8887   Up Right: -679.3228   Down Left: -907.2458   Down Right: -926.1664
V: 49  Left: -676.9986   Right: 101.851   Up: -518.3478   Down: -555.5083   Up Left: -567.2378   Up Right: -602.5197   Down Left: -706.1829   Down Right: -301.4249
V: 50  Left: -223.4465   Right: -25.82455   Up: -268.1847   Down: -6.912331   Up Left: -375.3495   Up Right: -161.9584   Down Left: -125.7258   Down Right: 524.1063
V: 51  Left: -348.7305   Right: -527.9362   Up: -569.4612   Down: 678.6746   Up Left: -461.4304   Up Right: -418.1393   Down Left: 46.01566   Down Right: -521.2239
V: 52  Left: -127.3563   Right: -668.9098   Up: -676.656   Down: -666.6209   Up Left: -676.3712   Up Right: -661.7556   Down Left: -505.6902   Down Right: -749.6965
V: 53  Left: -673.1536   Right: -683.767   Up: -668.9998   Down: -1050.982   Up Left: -667.1599   Up Right: -678.1315   Down Left: -772.1011   Down Right: -919.7937
V: 54  Left: -863.6202   Right: -862.9139   Up: -863.7585   Down: -856.725   Up Left: -862.9818   Up Right: -837.0114   Down Left: -855.9673   Down Right: -773.7905
V: 55  Left: -866.8644   Right: -788.2386   Up: -824.864   Down: -840.5393   Up Left: -861.5944   Up Right: -559.539   Down Left: -832.3627   Down Right: -838.9956
V: 56  Left: -728.7112   Right: -469.9223   Up: -694.8431   Down: -754.1279   Up Left: -729.7807   Up Right: -566.9127   Down Left: -743.6904   Down Right: -629.1481
V: 57  Left: -712.5944   Right: -374.5783   Up: -565.704   Down: -560.9147   Up Left: -666.9022   Up Right: -409.511   Down Left: -722.8867   Down Right: -445.733
V: 58  Left: -537.1104   Right: -367.535   Up: -581.6069   Down: -464.1516   Up Left: -519.0226   Up Right: -368.9349   Down Left: -506.8271   Down Right: -60.65396
V: 59  Left: -638.6871   Right: -604.7237   Up: -653.2208   Down: -375.9481   Up Left: -661.527   Up Right: -518.7641   Down Left: -482.9923   Down Right: 68.67747
V: 60  Left: -699.9734   Right: -673.6523   Up: -606.4371   Down: 27.63378   Up Left: -694.5595   Up Right: -686.8241   Down Left: -494.5933   Down Right: -677.5528
V: 61  Left: -591.5219   Right: -687.2929   Up: -683.9682   Down: -683.4117   Up Left: -681.2006   Up Right: -680.5406   Down Left: -679.6641   Down Right: -681.4294
V: 62  Left: -682.3863   Right: -681.9293   Up: -685.9112   Down: -689.8693   Up Left: -680.9532   Up Right: -680.0659   Down Left: -682.07   Down Right: -691.0469

